# STR_XXXX part is read and XXXX becomes the string id number.
# Everything after the colon and before the new line will be saved as the string.
# Use # at the beginning of a line to leave a comment.

STR_0002    :Spiral berg-og-dal-bane
STR_0069    :Minigolf
STR_0070    :Gigabane
STR_0071    :Rotofall
STR_0072    :Flyvende tallerkner
STR_0073    :Skjevt hus
STR_0074    :Monorailsykler
STR_0075    :Kompakt invertert berg-og-dal-bane
STR_0076    :Vannbane
STR_0077    :Lufttrykkdrevet vertikal bane
STR_0078    :Invertert hårnålsbane
STR_0079    :Flyvende teppe
STR_0080    :Ubåtbane
STR_0081    :Elveflåter
STR_0082    :Ukjent attraksjon (50)

STR_0084    :Ukjent attraksjon (52)
STR_0085    :Ukjent attraksjon (53)
STR_0086    :Ukjent attraksjon (54)
STR_0087    :Ukjent attraksjon (55)
STR_0088    :Invertert impulsbane
STR_0089    :Miniberg-og-dal-bane
STR_0090    :Gruvebane
STR_0091    :Ukjent attraksjon (59)
STR_0092    :LIM-berg-og-dal-bane

STR_0512    :En kompakt berg-og-dal-bane med spiraltrekk og myke fall med vridninger
STR_0513    :En loopende berg-og-dal-bane hvor passasjerene kjører stående
STR_0514    :Tog som henger under berg-og-dal-banesporet svinger utover i svingene
STR_0515    :En berg-og-dal-bane i stål hvor togene henger under banen, med komplekse og vridde baner
STR_0516    :En rolig berg-og-dal-bane for dem som ikke enda tør våge seg på de større attraksjonene
STR_0517    :Passasjerer kjører i miniatyrtog langs en smalsport togbane
STR_0518    :Passasjerer reiser i elektriske tog lang en monorailbane
STR_0519    :Passasjerer kjører i små vogner, hengende under en enkelt skinne, hvor de svinger fritt fra side til side i svingene
STR_0520    :En brygge hvor gjester kan kjøre/ro personlige fartøy på vannet
STR_0521    :En rask og forskrudd berg-og-dal-bane med skarpe svinger og bratte fall; høy intensitet er garantert
STR_0522    :En liten berg-og-dal-bane hvor det ikke er noen vogn mellom passasjerene og banen
STR_0523    :Passasjerer reiser sakte i motoriserte biler langs en bane
STR_0524    :Fritt fall-vogner blir pneumatisk skutt opp et høyt ståltårn, for så å falle fritt ned igjen
STR_0525    :Passasjerer raser ned en vridd bane, kun styrt av kurvaturen i svingene
STR_0526    :Passasjerer blir løftet opp et høyt tårn i en roterende lukket observasjonsplatform
STR_0527    :En myk stål-berg-og-dal-bane med mulighet for vertikale looper
STR_0528    :Passasjerer sitter på oppblåsbare gummibåter mens de suser nedover en vridd halvsirkelformet, eller helt lukket, rørbane
STR_0529    :Gruvetog-liknende berg-og-dal-banetog raser langs en stålbane som etterlikner gamle togskinner
STR_0530    :Vogner henger fra en stålkabel som går mellom begge endene av attraksjonen
STR_0531    :En kompakt berg-og-dal-bane i stål hvor togene går gjennom korketrekkere og looper
STR_0532    :
STR_0533    :
STR_0534    :Bensindrevne go karts gjester kan kjøre selv
STR_0535    :Tømmerformede båter flyter langs kanaler, og suser ned bratte fall for å sprute vann på passasjerene
STR_0536    :Sirkulære båter flyter rolig langs en bred kanal, og må traversere brusende stryk og fossefall
STR_0537    :
STR_0538    :
STR_0539    :
STR_0540    :
STR_0541    :
STR_0542    :
STR_0543    :
STR_0544    :
STR_0545    :
STR_0546    :
STR_0547    :
STR_0548    :
STR_0549    :
STR_0550    :
STR_0551    :
STR_0552    :
STR_0553    :
STR_0554    :Vognen blir skutt ut av stasjonen langs en rett strekning ved hjelp av lineære induksjonsmotorer, for så å bli ledet rett opp et høyt tårn, hvor den faller fritt baklengs tilbake til stasjonen
STR_0555    :Gjester reiser opp eller ned et vertikalt tårn for å komme fra ett nivå til et annet
STR_0556    :Extra vide vogner kjører ned vertikale fall for en ultimat fritt fall-opplevelse
STR_0557    :
STR_0558    :
STR_0559    :
STR_0560    :
STR_0561    :
STR_0562    :Motoriserte biler reiser forbi skumle kulisser og spesialeffekter over flere etasjer
STR_0563    :I komfortable vogner nyter passasjerene gigantiske myke fall og langvarig vektløshet over bakketoppene
STR_0564    :Denne berg-og-dal-banen er laget i tre og er rask, røff og bråkete på en måte som gjør at toget føles som det er ute av kontroll
STR_0565    :En enkel berg-og-dal-bane i tre hvor vognene kun holdes på sporet ved hjelp av tyngdekraften
STR_0566    :Berg-og-dal-banevogner fyker rundt en trang bane preget av sikksakk-mønstre og korte, skarpe fall
STR_0567    :I seter hengende utover siden av sporet fyker passasjerene hodestups ned bratte fall og diverse inversjoner
STR_0568    :
STR_0569    :I spesialseler hengende under sporet opplever passasjerene en følelse av å fly gjennom luften
STR_0570    :
STR_0571    :Sirkulære vogner spinner mens de blir ledet gjennom en sikksakkbane av tre
STR_0572    :Båter med høy kapasitet flyter langs en vid kanal, trukket opp bakker av et belte, hvor de fyker ned bratte fall for å gjøre passasjerene gjennomvåte
STR_0573    :Helikopterformede vogner kjører langs en stålbane, drevet av pedalkraft
STR_0574    :Passasjerer ligger i spesielle seler mens de raser gjennom vridde baner med inversjoner, enten på magen eller ryggen
STR_0575    :Motoriserte tog hengende fra en skinne transporterer gjester rundt i parken
STR_0576    :
STR_0577    :Vogner kjører på trebaner hvor de blir snudd rundt av spesielle baneseksjoner
STR_0578    :Vogner kjører langs en bane lukket av ringer, hvor de blir ledet ned bratte bakker og gjennom vridninger
STR_0579    :
STR_0580    :En gigantisk stålberg-og-dal-bane med mulighet for myke fall og høyder på over 100 m
STR_0581    :En ring med seter blir dratt til toppen av et høyt tårn mens den spinner rolig, for så å falle fritt ned til bakken hvor den blir stoppet av magnetiske bremser
STR_0582    :
STR_0583    :
STR_0584    :Spesielle sykler kjører langs en stålskinne, drevet av pedalkraft
STR_0585    :Passasjerer sitter i par, hengende under banen mens de looper og vrir gjennom skarpe inversjoner
STR_0586    :Båtformede vogner kjører på berg-og-dal-banespor som tillater vridde kurver og skarpe fall, men også muligheten for å plaske ned i rolige elveseksjoner
STR_0587    :Etter en spennende utskytning skyter toget opp en vertikal bakke, over toppen, og vertikalt ned og tilbake
STR_0588    :Individuelle vogner kjører under en sikksakkbane med hårnålssvinger og skarpe fall
STR_0589    :
STR_0590    :Passasjerer kjører i en undervannsbåt gjennom en undervannsbane
STR_0591    :Raftformede båter flyter rolig langs en elvebane
STR_0592    :
STR_0593    :
STR_0594    :
STR_0595    :
STR_0596    :
STR_0597    :
STR_0598    :Inverterte berg-og-dal-banetog blir akselerert ut fra stasjonen for å reise opp en 'pigg', for så å falle ned igjen, gjennom stasjonen, og opp en pigg på andre siden
STR_0599    :En kompakt berg-og-dal-bane med indivuelle vogner og myke, vridde fall
STR_0600    :Motoriserte minetog ruller langs et mykt og vridd spor
STR_0601    :
STR_0602    :Berg-og-dal-banetog blir akselerert ut av stasjonen med lineære induksjonsmotorer og gjennom en rekke vridde inversjoner
STR_0603    :Gjest {INT32}
STR_0604    :Gjest {INT32}
STR_0605    :Gjest {INT32}
STR_0606    :Gjest {INT32}
STR_0607    :Gjest {INT32}
STR_0608    :Gjest {INT32}
STR_0609    :Gjest {INT32}
STR_0610    :Gjest {INT32}
STR_0611    :Gjest {INT32}
STR_0612    :Gjest {INT32}
STR_0613    :Gjest {INT32}
STR_0614    :Gjest {INT32}
STR_0615    :Gjest {INT32}
STR_0616    :Gjest {INT32}
STR_0617    :Gjest {INT32}
STR_0618    :Gjest {INT32}
STR_0619    :Gjest {INT32}
STR_0620    :Gjest {INT32}
STR_0621    :Gjest {INT32}
STR_0622    :Gjest {INT32}
STR_0623    :Gjest {INT32}
STR_0624    :Gjest {INT32}
STR_0625    :Gjest {INT32}
STR_0626    :Gjest {INT32}
STR_0627    :Gjest {INT32}
STR_0628    :Gjest {INT32}
STR_0629    :Gjest {INT32}
STR_0630    :Gjest {INT32}
STR_0631    :Gjest {INT32}
STR_0632    :Gjest {INT32}
STR_0633    :Gjest {INT32}
STR_0634    :Gjest {INT32}
STR_0635    :Gjest {INT32}
STR_0636    :Gjest {INT32}
STR_0637    :Gjest {INT32}
STR_0638    :Gjest {INT32}
STR_0639    :Gjest {INT32}
STR_0640    :Gjest {INT32}
STR_0641    :Gjest {INT32}
STR_0642    :Gjest {INT32}
STR_0643    :Gjest {INT32}
STR_0644    :Gjest {INT32}
STR_0645    :Gjest {INT32}
STR_0646    :Gjest {INT32}
STR_0647    :Gjest {INT32}
STR_0648    :Gjest {INT32}
STR_0649    :Gjest {INT32}
STR_0650    :Gjest {INT32}
STR_0651    :Gjest {INT32}
STR_0652    :Gjest {INT32}
STR_0653    :Gjest {INT32}
STR_0654    :Gjest {INT32}
STR_0655    :Gjest {INT32}
STR_0656    :Gjest {INT32}
STR_0657    :Gjest {INT32}
STR_0658    :Gjest {INT32}
STR_0659    :Gjest {INT32}
STR_0660    :Gjest {INT32}
STR_0661    :Gjest {INT32}
STR_0662    :Gjest {INT32}
STR_0663    :Gjest {INT32}
STR_0664    :Gjest {INT32}
STR_0665    :Gjest {INT32}
STR_0666    :Gjest {INT32}
STR_0667    :Gjest {INT32}
STR_0668    :Gjest {INT32}
STR_0669    :Gjest {INT32}
STR_0670    :Gjest {INT32}
STR_0671    :Gjest {INT32}
STR_0672    :Gjest {INT32}
STR_0673    :Gjest {INT32}
STR_0674    :Gjest {INT32}
STR_0675    :Gjest {INT32}
STR_0676    :Gjest {INT32}
STR_0677    :Gjest {INT32}
STR_0678    :Gjest {INT32}
STR_0679    :Gjest {INT32}
STR_0680    :Gjest {INT32}
STR_0681    :Gjest {INT32}
STR_0682    :Gjest {INT32}
STR_0683    :Gjest {INT32}
STR_0684    :Gjest {INT32}
STR_0685    :Gjest {INT32}
STR_0686    :Gjest {INT32}
STR_0687    :Gjest {INT32}
STR_0688    :Gjest {INT32}
STR_0689    :Gjest {INT32}
STR_0690    :Gjest {INT32}
STR_0691    :Gjest {INT32}
STR_0692    :Gjest {INT32}
STR_0693    :Gjest {INT32}
STR_0694    :Gjest {INT32}
STR_0695    :Gjest {INT32}
STR_0696    :Gjest {INT32}
STR_0697    :Gjest {INT32}
STR_0698    :Gjest {INT32}
STR_0699    :Gjest {INT32}
STR_0700    :Gjest {INT32}
STR_0701    :Gjest {INT32}
STR_0702    :Gjest {INT32}
STR_0703    :Gjest {INT32}
STR_0704    :Gjest {INT32}
STR_0705    :Gjest {INT32}
STR_0706    :Gjest {INT32}
STR_0707    :Gjest {INT32}
STR_0708    :Gjest {INT32}
STR_0709    :Gjest {INT32}
STR_0710    :Gjest {INT32}
STR_0711    :Gjest {INT32}
STR_0712    :Gjest {INT32}
STR_0713    :Gjest {INT32}
STR_0714    :Gjest {INT32}
STR_0715    :Gjest {INT32}
STR_0716    :Gjest {INT32}
STR_0717    :Gjest {INT32}
STR_0718    :Gjest {INT32}
STR_0719    :Gjest {INT32}
STR_0720    :Gjest {INT32}
STR_0721    :Gjest {INT32}
STR_0722    :Gjest {INT32}
STR_0723    :Gjest {INT32}
STR_0724    :Gjest {INT32}
STR_0725    :Gjest {INT32}
STR_0726    :Gjest {INT32}
STR_0727    :Gjest {INT32}
STR_0728    :Gjest {INT32}
STR_0729    :Gjest {INT32}
STR_0730    :Gjest {INT32}
STR_0731    :Gjest {INT32}
STR_0732    :Gjest {INT32}
STR_0733    :Gjest {INT32}
STR_0734    :Gjest {INT32}
STR_0735    :Gjest {INT32}
STR_0736    :Gjest {INT32}
STR_0737    :Gjest {INT32}
STR_0738    :Gjest {INT32}
STR_0739    :Gjest {INT32}
STR_0740    :Gjest {INT32}
STR_0741    :Gjest {INT32}
STR_0742    :Gjest {INT32}
STR_0743    :Gjest {INT32}
STR_0744    :Gjest {INT32}
STR_0745    :Gjest {INT32}
STR_0746    :Gjest {INT32}
STR_0747    :Gjest {INT32}
STR_0748    :Gjest {INT32}
STR_0749    :Gjest {INT32}
STR_0750    :Gjest {INT32}
STR_0751    :Gjest {INT32}
STR_0752    :Gjest {INT32}
STR_0753    :Gjest {INT32}
STR_0754    :Gjest {INT32}
STR_0755    :Gjest {INT32}
STR_0756    :Gjest {INT32}
STR_0757    :Gjest {INT32}
STR_0758    :Gjest {INT32}
STR_0759    :Gjest {INT32}
STR_0760    :Gjest {INT32}
STR_0761    :Gjest {INT32}
STR_0762    :Gjest {INT32}
STR_0763    :Gjest {INT32}
STR_0764    :Gjest {INT32}
STR_0765    :Gjest {INT32}
STR_0766    :Gjest {INT32}
STR_0767    :Gjest {INT32}
STR_0768    :Vaktmester {INT32}
STR_0769    :Reparatør {INT32}
STR_0770    :Sikkerhetsvakt {INT32}
STR_0771    :Underholder {INT32}
STR_0772    :Navnløs park{POP16}{POP16}
STR_0773    :Navnløs park{POP16}{POP16}
STR_0774    :Navnløs park{POP16}{POP16}
STR_0775    :Navnløs park{POP16}{POP16}
STR_0776    :Navnløs park{POP16}{POP16}
STR_0777    :Navnløs park{POP16}{POP16}
STR_0778    :Skilt
STR_0779    :1.
STR_0780    :2.
STR_0781    :3.
STR_0782    :4.
STR_0783    :5.
STR_0784    :6.
STR_0785    :7.
STR_0786    :8.
STR_0787    :9.
STR_0788    :10.
STR_0789    :11.
STR_0790    :12.
STR_0791    :13.
STR_0792    :14.
STR_0793    :15.
STR_0794    :16.
STR_0795    :17.
STR_0796    :18.
STR_0797    :19.
STR_0798    :20.
STR_0799    :21.
STR_0800    :22.
STR_0801    :23.
STR_0802    :24.
STR_0803    :25.
STR_0804    :26.
STR_0805    :27.
STR_0806    :28.
STR_0807    :29.
STR_0808    :30.
STR_0809    :31.

STR_0814    :Mai

STR_0819    :Okt

STR_0821    :Des
STR_0822    :Klarer ikke åpne grafikk-datafilen
STR_0823    :Manglende eller utilgjengelig datafil

STR_0825    :Navnet er allerede i bruk
STR_0826    :For mange navn definert
STR_0827    :Ikke nok penger - {CURRENCY2DP} trengs
STR_0828    :{SMALLFONT}{BLACK}Lukk vindu
STR_0829    :{SMALLFONT}{BLACK}Vindustittel - dra denne for å flytte vinduet
STR_0830    :{SMALLFONT}{BLACK}Zoom inn
STR_0831    :{SMALLFONT}{BLACK}Zoom ut
STR_0832    :{SMALLFONT}{BLACK}Rotate kameravinkelen 90{DEGREE} med klokken
STR_0833    :{SMALLFONT}{BLACK}Pause spillet
STR_0834    :{SMALLFONT}{BLACK}Disk- og spillinnstillinger
STR_0835    :Spillinitialisering mislyktes
STR_0836    :Kunne ikke starte spillet i minimert tilstand
STR_0837    :Kunne ikke initialisere grafikksystemet

# The following six strings were used for display resolutions, but have been replaced.

STR_0847    :Om 'OpenRCT2'

STR_0849    :{WINDOW_COLOUR_2}Versjon 2.01.028
STR_0850    :{WINDOW_COLOUR_2}Opphavsrett {COPYRIGHT} 2002 Chris Sawyer, alle rettigheter forbeholdt
STR_0851    :{WINDOW_COLOUR_2}Designet og programmert av Chris Sawyer
STR_0852    :{WINDOW_COLOUR_2}Graphikk av Simon Foster
STR_0853    :{WINDOW_COLOUR_2}Lyd og musikk av Allister Brimble
STR_0854    :{WINDOW_COLOUR_2}Ytterligere lyder spilt inn av David Ellis
STR_0855    :{WINDOW_COLOUR_2}Representasjon av Jacqui Lyons ved Marjacq AS
STR_0856    :{WINDOW_COLOUR_2}Takk til:
STR_0857    :{WINDOW_COLOUR_2}Peter James Adcock, Joe Booth og John Wardley

STR_0877    :For lavt !
STR_0878    :For høyt !
STR_0879    :Kan ikke senke land her...
STR_0880    :Kan ikke heve land her...
STR_0881    :Objekt i veien
STR_0882    :Last inn spill
STR_0883    :Lagre spill
STR_0884    :Last inn landskap
STR_0885    :Lagre landskap
STR_0886    :Avslutt spill
STR_0887    :Avslutt scenarioeditoren
STR_0888    :Avslutt berg-og-dal-banedesigner
STR_0889    :Avslutt spordesign-editoren

STR_0891    :Skjermbilde
STR_0892    :Skjermbilde lagret som '{STRINGID}'
STR_0893    :Skjermbilde mislyktes !
STR_0894    :Landskapets dataområde er fullt !
STR_0895    :Kan ikke bygge delvis under bakken
STR_0896    :{POP16}{POP16}{STRINGID} Konstruksjon
STR_0897    :Retning
STR_0898    :{SMALLFONT}{BLACK}Venstrekurve
STR_0899    :{SMALLFONT}{BLACK}Høyrekurve
STR_0900    :{SMALLFONT}{BLACK}Venstrekurve (liten radius)
STR_0901    :{SMALLFONT}{BLACK}Høyrekurve (liten radius)
STR_0902    :{SMALLFONT}{BLACK}Venstrekurve (veldig liten radius)
STR_0903    :{SMALLFONT}{BLACK}Høyrekurve (veldig liten radius)
STR_0904    :{SMALLFONT}{BLACK}Venstrekurve (stor radius)
STR_0905    :{SMALLFONT}{BLACK}Høyrekurve (stor radius)
STR_0906    :{SMALLFONT}{BLACK}Rett
STR_0907    :Bakke
STR_0908    :Rull/helling
STR_0909    :Seterotasjon
STR_0910    :{SMALLFONT}{BLACK}Rull for venstrekurve
STR_0911    :{SMALLFONT}{BLACK}Rull for høyrekurve
STR_0912    :{SMALLFONT}{BLACK}Ingen rull
STR_0913    :{SMALLFONT}{BLACK}Flytt til forrige seksjon
STR_0914    :{SMALLFONT}{BLACK}Flytt til neste seksjon
STR_0915    :{SMALLFONT}{BLACK}Konstruer valgt seksjon
STR_0916    :{SMALLFONT}{BLACK}Fjern markert seksjon
STR_0917    :{SMALLFONT}{BLACK}Vertikalt fall
STR_0918    :{SMALLFONT}{BLACK}Bratt fall ned
STR_0919    :{SMALLFONT}{BLACK}Bakke ned
STR_0920    :{SMALLFONT}{BLACK}Vannrett
STR_0921    :{SMALLFONT}{BLACK}Bakke opp
STR_0922    :{SMALLFONT}{BLACK}Bratt bakke opp
STR_0923    :{SMALLFONT}{BLACK}Vertikal stigning
STR_0924    :{SMALLFONT}{BLACK}Heliks ned
STR_0925    :{SMALLFONT}{BLACK}Heliks opp
STR_0926    :Denne kan ikke fjernes...
STR_0927    :Denne kan ikke konstrueres her...
STR_0928    :{SMALLFONT}{BLACK}Trekk, for å trekke vognene opp bakker
STR_0929    :'S'-kurve (venstre)
STR_0930    :'S'-kurve (høyre)
STR_0931    :Vertikal loop (venstre)
STR_0932    :Vertikal loop (høyre)
STR_0933    :Hev eller senk bakken først
STR_0934    :Inngang i veien
STR_0935    :Utgang i veien
STR_0936    :Parkinngang i veien
STR_0937    :{SMALLFONT}{BLACK}Innstillinger
STR_0938    :{SMALLFONT}{BLACK}Endre bakkehøyde og helning
STR_0939    :Undergrunns-/innendørssyn
STR_0940    :Skjul bakken
STR_0941    :Skjul vertikale flater
STR_0942    :Gjennomsiktige attraksjoner
STR_0943    :Gjennomsiktig natur og pynt
STR_0944    :Lagre
STR_0945    :Ikke lagre
STR_0946    :Avbryt
STR_0947    :Lagre før du laster inn ?
STR_0948    :Lagre før du avslutter ?
STR_0949    :Lagre før du avslutter ?
STR_0950    :Last inn spill
STR_0951    :Avslutt spill
STR_0952    :Avslutt spill
STR_0953    :Last inn landskap

STR_0955    :{SMALLFONT}{BLACK}Velg seterotasjon for denne baneseksjonen

STR_0972    :Avbryt

STR_0974    :Attraksjoner
STR_0975    :Boder
STR_0976    :Toaletter og informasjonskiosker
STR_0977    :Nye transportattraksjoner
STR_0978    :Nye roliger attraksjoner
STR_0979    :Nye berg-og-dal-baner
STR_0980    :Nye spennende attraksjoner
STR_0981    :Nye vannattraksjoner
STR_0982    :Nye boder
STR_0983    :Forskning og utvikling

STR_0987    :For mange attraksjoner
STR_0988    :Kan ikke konstruere ny attraksjon...

STR_0990    :{SMALLFONT}{BLACK}Konstruksjon
STR_0991    :Stasjonsplatform
STR_0992    :{SMALLFONT}{BLACK}Riv hele attraksjonen
STR_0993    :Riv attraksjon
STR_0994    :Riv ned
STR_0995    :{WINDOW_COLOUR_1}Er du sikker på at du vil rive {STRINGID}?
STR_0996    :Oversiktsvisning
STR_0997    :{SMALLFONT}{BLACK}Vis markering
STR_0998    :Ingen flere stasjoner tillatt på denne attraksjonen
STR_0999    :Krever stasjonsplatform
STR_1000    :Banen er ikke en komplett krets
STR_1001    :Banen er ikke egnet for den typen tog
STR_1002    :Kan ikke åpne {POP16}{POP16}{POP16}{STRINGID}...
STR_1003    :Kan ikke teste {POP16}{POP16}{POP16}{STRINGID}...
STR_1004    :Kan ikke stenge {POP16}{POP16}{POP16}{STRINGID}...
STR_1005    :Kan ikke starte konstruksjon på {POP16}{POP16}{POP16}{STRINGID}...
STR_1006    :Må stenges først
STR_1007    :Kunne ikke opprette nok vogner
STR_1008    :{SMALLFONT}{BLACK}Åpne, steng eller test attraksjon
STR_1009    :{SMALLFONT}{BLACK}Åpne, stenge eller teste alle attraksjoner
STR_1010    :{SMALLFONT}{BLACK}Åpne eller stenge park
STR_1011    :Steng alle
STR_1012    :Åpne alle
STR_1013    :Steng park
STR_1014    :Åpne park
STR_1015    :Kan ikke operere med mer enn én stasjon i denne modusen
STR_1016    :Kan ikke operere med mindre enn to stasjoner i denne modusen
STR_1017    :Kan ikke endre operasjonsmodus...
STR_1018    :Kunne ikke utføre endringer...
STR_1019    :Kunne ikke utføre endringer...
STR_1020    :Kunne ikke utføre endringer...

STR_1022    :{POP16}{POP16}{POP16}{COMMA16} vogn per tog
STR_1023    :{POP16}{POP16}{POP16}{COMMA16} vogner per tog
STR_1024    :{COMMA16} vogn per tog
STR_1025    :{COMMA16} vogner per tog
STR_1026    :Stasjonsplatform for lang!
STR_1027    :{SMALLFONT}{BLACK}Finn denne lokasjonen i hovedvisning
STR_1028    :Utenfor kartet!
STR_1029    :Kan ikke bygge delvis under vann!
STR_1030    :Kan kun bygges under vann!
STR_1031    :Kan ikke bygges under vann!
STR_1032    :Kan kun bygges på vann!
STR_1033    :Kan kun bygges over bakken!
STR_1034    :Kan kun bygges på land!
STR_1035    :Lokalmyndighetene tillater ikke konstruksjon over trehøyde!
STR_1036    :Last inn spill
STR_1037    :Last inn landskap
STR_1038    :Konverter lagret spill til scenario
STR_1039    :Installer nytt spordesign
STR_1040    :Lagre spill
STR_1041    :Lagre scenario
STR_1042    :Lagre landskap
STR_1043    :OpenRCT2 lagret spill
STR_1044    :OpenRCT2 scenariofil
STR_1045    :OpenRCT2 landskapsfil
STR_1046    :OpenRCT2 spordesign-fil
STR_1047    :Klarte ikke lagre spill!
STR_1048    :Klarte ikke lagre scenario!
STR_1049    :Klarte ikke lagre landskap!
STR_1050    :Klarte ikke laste inn...{NEWLINE}Filen inneholder ugyldig data!
STR_1051    :Usynlige støtter
STR_1052    :Usynlige mennesker
STR_1053    :{SMALLFONT}{BLACK}Attraksjoner i park
STR_1054    :{SMALLFONT}{BLACK}Navngi attraksjon
STR_1055    :{SMALLFONT}{BLACK}Navngi person
STR_1056    :{SMALLFONT}{BLACK}Navngi ansatt
STR_1057    :Attraksjonsnavn
STR_1058    :Skriv inn navn for denne attraksjonen:
STR_1059    :Kan ikke navngi attraksjon...
STR_1060    :Ugyldig attraksjonsnavn
STR_1061    :Normal modus
STR_1062    :Kretsmodus
STR_1063    :Baklengs trekk
STR_1064    :Utskytning (passerer stasjon)
STR_1065    :Pendlermodus
STR_1066    :Båtutleie
STR_1067    :Oppskytning
STR_1068    :Roterende heis
STR_1069    :Stasjon-til-stasjon
STR_1070    :Én tur per billett
STR_1071    :Ubegrensede turer per billett
STR_1072    :Labyrint
STR_1073    :Løpsmodus
STR_1074    :Radiobiler
STR_1075    :Svingemodus
STR_1076    :Bod
STR_1077    :Roteringsmodus
STR_1078    :Foroverrotasjon
STR_1079    :Bakoverrotasjon
STR_1080    :Film: {ENDQUOTES}Flyvere på hevntokt{ENDQUOTES}
STR_1081    :3D film: {ENDQUOTES}Musehaler{ENDQUOTES}
STR_1082    :Romringer
STR_1083    :Nybegynnermodus
STR_1084    :LIM-utskytning
STR_1085    :Film: {ENDQUOTES}Fartsspenning{ENDQUOTES}
STR_1086    :3D film: {ENDQUOTES}Stormjegere{ENDQUOTES}
STR_1087    :3D film: {ENDQUOTES}Verdensromsraidere{ENDQUOTES}
STR_1088    :Intens modus
STR_1089    :Berserkmodus
STR_1090    :Spøkelseshus
STR_1091    :Sirkusshow
STR_1092    :Fallende utskytning
STR_1093    :Skjevt hus
STR_1094    :Fritt fall
STR_1095    :Blokkinndelt krets modus
STR_1096    :Utskytning (passerer ikke stasjon)
STR_1097    :Blokkinndelt utskytningsmodus
STR_1098    :Beveger seg mot enden av {POP16}{STRINGID}
STR_1099    :Venter på passasjerer ved {POP16}{STRINGID}
STR_1100    :Venter på avgang ved {POP16}{STRINGID}
STR_1101    :Drar fra {POP16}{STRINGID}
STR_1102    :Kjører i {VELOCITY}
STR_1103    :Ankommer ved {POP16}{STRINGID}
STR_1104    :Slipper av passasjerer ved {POP16}{STRINGID}
STR_1105    :Kjører i {VELOCITY}
STR_1106    :Krasjer!
STR_1107    :Krasjet!
STR_1108    :Kjører i {VELOCITY}
STR_1109    :Svinger
STR_1110    :Roterer
STR_1111    :Roterer
STR_1112    :I drift
STR_1113    :Viser film
STR_1114    :Roterer
STR_1115    :I drift
STR_1116    :I drift
STR_1117    :Sirkusshow
STR_1118    :I drift
STR_1119    :Venter på trekk
STR_1120    :Kjører i {VELOCITY}
STR_1121    :Stopper
STR_1122    :Venter på passasjerer
STR_1123    :Venter på å starte
STR_1124    :Starter
STR_1125    :I drift
STR_1126    :Stopper
STR_1127    :Slipper av passasjerer
STR_1128    :Stoppet av blokkbremser
STR_1129    :Alle vogner i like farger
STR_1130    :Forskjellige farger per {STRINGID}
STR_1131    :Forskjellige farger per kjøretøy
STR_1132    :Kjøretøy {POP16}{POP16}{POP16}{POP16}{POP16}{POP16}{COMMA16}
STR_1133    :Kjøretøy {POP16}{COMMA16}

STR_1136    :{SMALLFONT}{BLACK}Velg hovedfarge
