# STR_XXXX part is read and XXXX becomes the string id number.
# Everything after the colon and before the new line will be saved as the string.
# Use # at the beginning of a line to leave a comment.

STR_0002    :Kierrevuoristorata
STR_0683    :Vieras {INT32}
STR_0684    :Vieras {INT32}
STR_0685    :Vieras {INT32}
STR_0686    :Vieras {INT32}
STR_0687    :Vieras {INT32}
STR_0688    :Vieras {INT32}
STR_0689    :Vieras {INT32}
STR_0690    :Vieras {INT32}
STR_0691    :Vieras {INT32}
STR_0692    :Vieras {INT32}
STR_0693    :Vieras {INT32}
STR_0694    :Vieras {INT32}
STR_0695    :Vieras {INT32}
STR_0696    :Vieras {INT32}
STR_0697    :Vieras {INT32}
STR_0698    :Vieras {INT32}
STR_0699    :Vieras {INT32}
STR_0700    :Vieras {INT32}
STR_0701    :Vieras {INT32}
STR_0702    :Vieras {INT32}
STR_0703    :Vieras {INT32}
STR_0704    :Vieras {INT32}
STR_0705    :Vieras {INT32}
STR_0706    :Vieras {INT32}
STR_0707    :Vieras {INT32}
STR_0708    :Vieras {INT32}
STR_0709    :Vieras {INT32}
STR_0710    :Vieras {INT32}
STR_0711    :Vieras {INT32}
STR_0712    :Vieras {INT32}
STR_0713    :Vieras {INT32}
STR_0714    :Vieras {INT32}
STR_0715    :Vieras {INT32}
STR_0716    :Vieras {INT32}
STR_0717    :Vieras {INT32}
STR_0718    :Vieras {INT32}
STR_0719    :Vieras {INT32}
STR_0720    :Vieras {INT32}
STR_0721    :Vieras {INT32}
STR_0722    :Vieras {INT32}
STR_0723    :Vieras {INT32}
STR_0724    :Vieras {INT32}
STR_0725    :Vieras {INT32}
STR_0726    :Vieras {INT32}
STR_0727    :Vieras {INT32}
STR_0728    :Vieras {INT32}
STR_0729    :Vieras {INT32}
STR_0730    :Vieras {INT32}
STR_0731    :Vieras {INT32}
STR_0732    :Vieras {INT32}
STR_0733    :Vieras {INT32}
STR_0734    :Vieras {INT32}
STR_0735    :Vieras {INT32}
STR_0736    :Vieras {INT32}
STR_0737    :Vieras {INT32}
STR_0738    :Vieras {INT32}
STR_0739    :Vieras {INT32}
STR_0740    :Vieras {INT32}
STR_0741    :Vieras {INT32}
STR_0742    :Vieras {INT32}
STR_0743    :Vieras {INT32}
STR_0744    :Vieras {INT32}
STR_0745    :Vieras {INT32}
STR_0746    :Vieras {INT32}
STR_0747    :Vieras {INT32}
STR_0748    :Vieras {INT32}
STR_0749    :Vieras {INT32}
STR_0750    :Vieras {INT32}
STR_0751    :Vieras {INT32}
STR_0752    :Vieras {INT32}
STR_0753    :Vieras {INT32}
STR_0754    :Vieras {INT32}
STR_0755    :Vieras {INT32}
STR_0756    :Vieras {INT32}
STR_0757    :Vieras {INT32}
STR_0758    :Vieras {INT32}
STR_0759    :Vieras {INT32}
STR_0760    :Vieras {INT32}
STR_0761    :Vieras {INT32}
STR_0762    :Vieras {INT32}
STR_0763    :Vieras {INT32}
STR_0764    :Vieras {INT32}
STR_0765    :Vieras {INT32}
STR_0766    :Vieras {INT32}
STR_0767    :Vieras {INT32}
STR_0768    :Yleismies {INT32}
STR_0769    :Mekaanikko {INT32}
STR_0770    :Vartija {INT32}
STR_0771    :Viihdyttjäjä {INT32}
STR_0772    :Nimetön puisto{POP16}{POP16}
STR_0773    :Nimetön puisto{POP16}{POP16}
STR_0774    :Nimetön puisto{POP16}{POP16}
STR_0775    :Nimetön puisto{POP16}{POP16}
STR_0776    :Nimetön puisto{POP16}{POP16}
STR_0777    :Nimetön puisto{POP16}{POP16}
STR_0778    :Kyltti
STR_0779    :1.
STR_0780    :2.
STR_0781    :3.
STR_0782    :4.
STR_0783    :5.
STR_0784    :6.
STR_0785    :7.
STR_0786    :8.
STR_0787    :9.
STR_0788    :10.
STR_0789    :11.
STR_0790    :12.
STR_0791    :13.
STR_0792    :14.
STR_0793    :15.
STR_0794    :16.
STR_0795    :17.
STR_0796    :18.
STR_0797    :19.
STR_0798    :20.
STR_0799    :21.
STR_0800    :22.
STR_0801    :23.
STR_0802    :24.
STR_0803    :25.
STR_0804    :26.
STR_0805    :27.
STR_0806    :28.
STR_0807    :29.
STR_0808    :30.
STR_0809    :31.
STR_0810    :Tammi
STR_0811    :Helmi
STR_0812    :Maalis
STR_0813    :Huhti
STR_0814    :Touko
STR_0815    :Kesä
STR_0816    :Heinä
STR_0817    :Elo
STR_0818    :Syys
STR_0819    :Loka
STR_0820    :Marras
STR_0821    :Joulu
STR_0822    :Grafiikkadatatiedostoa ei saada auki
STR_0823    :Puuttuva tai käyttökelvoton datatiedosto

STR_0825    :Nimi on jo käytössä
STR_0826    :Liian monta nimeä määritetty
STR_0827    :Rahaa ei ole tarpeeksi - tarvitaan {CURRENCY2DP}
STR_0828    :{SMALLFONT}{BLACK}Sulje ikkuna
STR_0829    :{SMALLFONT}{BLACK}Ikkunan otsikko - Vedä tätä liikuttaaksesi ikkunaa
STR_0830    :{SMALLFONT}{BLACK}Suurenna
STR_0831    :{SMALLFONT}{BLACK}Pienennä
STR_0832    :{SMALLFONT}{BLACK}Käännä 90{DEGREE} myötäpäivään
STR_0833    :{SMALLFONT}{BLACK}Pysäytä peli
STR_0834    :{SMALLFONT}{BLACK}Levy- ja peliasetukset
STR_0835    :Pelin alustus epäonnistui
STR_0836    :Pelin aloitus ei onnistu pienennetyssä tilassa
STR_0837    :Grafiikkajärjestelmän alustus ei toimi
STR_0838    :<not used anymore>

# The following six strings were used for display resolutions, but have been replaced.
STR_0841    :<not used anymore>
STR_0842    :<not used anymore>
STR_0843    :<not used anymore>
STR_0844    :<not used anymore>
STR_0845    :<not used anymore>
STR_0846    :<not used anymore>
STR_0847    :Lisätietoja 'OpenRCT2'

STR_0849    :{WINDOW_COLOUR_2}Versio 2.01.028
STR_0850    :{WINDOW_COLOUR_2}Tekijänoikeus {COPYRIGHT} 2002 Chris Sawyer, kaikki oikeudet pidetään
STR_0851    :{WINDOW_COLOUR_2}Suunnitellut ja ohjelmoinut Chris Sawyer
STR_0852    :{WINDOW_COLOUR_2}Grafiikka Simon Foster
STR_0853    :{WINDOW_COLOUR_2}Äänet ja musiikki Allister Brimble
STR_0854    :{WINDOW_COLOUR_2}Lisä-äänet nauhoittanut David Ellis
STR_0855    :{WINDOW_COLOUR_2}Edustaja Jacqui Lyons at Marjacq Ltd.
STR_0856    :{WINDOW_COLOUR_2}Kiitoksia:
STR_0857    :{WINDOW_COLOUR_2}Peter James Adcock, Joe Booth, ja John Wardley

STR_0877    :Liian matala !
STR_0878    :Liian korkea !
STR_0879    :Maata ei voi alentaa tästä...
STR_0880    :Maata ei voi nostaa tästä...
STR_0881    :Esine on tiellä
STR_0882    :Lataa peli
STR_0883    :Tallenna peli
STR_0884    :Lataa maisema
STR_0885    :Tallenna maisema
STR_0886    :Lopeta peli
STR_0887    :Lopeta skenaarioeditori
STR_0888    :Lopeta vuoristoratasuunnittelu
STR_0889    :Lopeta ratasuunnitelmahallinta

STR_0891    :Kuvankaappaus
STR_0892    :Kuvankaappaus tallennettu levylle nimellä '{STRINGID}'
STR_0893    :Kuvankaappaus epäonnistui !
STR_0894    :Maisematietoalue on täynnä !
STR_0895    :Ei voi rakentaa osittain maan ylle ja alle
STR_0896    :{POP16}{POP16}{STRINGID} Rakenne
STR_0897    :Suunta
STR_0898    :{SMALLFONT}{BLACK}Kaarre vasempaan
STR_0899    :{SMALLFONT}{BLACK}Kaarre oikeaan
STR_0900    :{SMALLFONT}{BLACK}Kaarre vasempaan (pieni säde)
STR_0901    :{SMALLFONT}{BLACK}Kaarre oikeaan (pieni säde)
STR_0902    :{SMALLFONT}{BLACK}Kaarre vasempaan (todella pieni säde)
STR_0903    :{SMALLFONT}{BLACK}Kaarre oikeaan (todella pieni säde)
STR_0904    :{SMALLFONT}{BLACK}Kaarre vasempaan (iso säde)
STR_0905    :{SMALLFONT}{BLACK}Kaarre oikeaan (iso säde)
STR_0906    :{SMALLFONT}{BLACK}Suora
STR_0907    :Mäki
STR_0908    :Kallistus
STR_0909    :Istuimen kierto
STR_0910    :{SMALLFONT}{BLACK}Kallistus vasempaan
STR_0911    :{SMALLFONT}{BLACK}Kallistus oikeaan
STR_0912    :{SMALLFONT}{BLACK}Ei kallistusta
STR_0913    :{SMALLFONT}{BLACK}Siirry edelliseen osaan
STR_0914    :{SMALLFONT}{BLACK}Siirry seuraavaan osaan
STR_0915    :{SMALLFONT}{BLACK}Rakenna valittu osio
STR_0916    :{SMALLFONT}{BLACK}Poista valittu osio
STR_0917    :{SMALLFONT}{BLACK}Pystypudotus
STR_0918    :{SMALLFONT}{BLACK}Jyrkkä mäki alas
STR_0919    :{SMALLFONT}{BLACK}Mäki alas
STR_0920    :{SMALLFONT}{BLACK}Tasanne
STR_0921    :{SMALLFONT}{BLACK}Mäki ylös
STR_0922    :{SMALLFONT}{BLACK}Jyrkkä mäki ylös
STR_0923    :{SMALLFONT}{BLACK}Pystynousu
STR_0924    :{SMALLFONT}{BLACK}Kierre alas
STR_0925    :{SMALLFONT}{BLACK}Kierre ylös
STR_0926    :Tämän poistaminen ei onnistu...
STR_0927    :Tämän rakentaminen tähän ei onnistu...
STR_0928    :{SMALLFONT}{BLACK}Ketjumäki, vaunujen mäessä vetämistä varten.
STR_0929    :'S' mutka (vasen)
STR_0930    :'S' mutka (oikea)
STR_0931    :Pystysuora silmukka (vasen)
STR_0932    :Pystysuora silmukka (oikea)
STR_0933    :Nosta tai laske maata ensin
STR_0934    :Laitteen sisäänkäynti edessä
STR_0935    :Laitteen uloskäynti edessä
STR_0936    :Puiston sisäänkäynti edessä
STR_0937    :{SMALLFONT}{BLACK}Näkymäasetukset
STR_0938    :{SMALLFONT}{BLACK}Muokkaa maan korkeutta ja jyrkkyyttä
STR_0939    :Maanalainen näkymä
STR_0940    :Poista pohjamaa
STR_0941    :Poista pystysuorat pinnat
STR_0942    :Näe laitteiden läpi
STR_0943    :Näe maiseman läpi
STR_0944    :Tallenna
STR_0945    :Älä tallenna
STR_0946    :Peruuta
STR_0947    :Tallenna ennen lataamista ?
STR_0948    :Tallenna ennen lopettamista ?
STR_0949    :Tallenna ennen lopettamista ?
STR_0950    :Lataa peli
STR_0951    :Lopeta peli
STR_0952    :Lopeta peli
STR_0953    :Lataa maisema

STR_0955    :{SMALLFONT}{BLACK}Valitse istuimen kiertokulma tähän radan osioon

STR_0972    :Peruuta

STR_0974    :Laitteet
STR_0975    :Kaupat ja kojut
STR_0976    :Vessat ja infokioskit
STR_0977    :Uusia kuljetuslaitteita
STR_0978    :Uusia lempeitä laitteita
STR_0979    :Uusia vuoristoratoja
STR_0980    :Uusia jännittäviä laitteita
STR_0981    :Uusia vesilaitteita
STR_0982    :Uusia kauppoja ja kojuja
STR_0983    :Tutkimustyö & kehittely

STR_0987    :Liian monta laitetta/kohdetta
STR_0988    :Ei pysty luomaan uutta laitetta/kohdetta...

STR_0990    :{SMALLFONT}{BLACK}Rakennus
STR_0991    :Asematasanne
STR_0992    :{SMALLFONT}{BLACK}Romuta koko laite/kohde
STR_0993    :Romuta laite/nähtävyys
STR_0994    :Romuta
STR_0995    :{WINDOW_COLOUR_1}Oletko varma että haluat tuhota {STRINGID}:n?
STR_0996    :Kokonaisnäkymä
STR_0997    :{SMALLFONT}{BLACK}Katso valinta
STR_0998    :Ei lisää asemia sallittu tälle laitteelle
STR_0999    :Vaatii asematasanteen
STR_1000    :Rata ei tee täydellistä kierrosta
STR_1001    :Rata ei sovi kyseiselle junalajille
STR_1002    :Avaaminen ei onnistu laitteessa {POP16}{POP16}{POP16}{STRINGID}...
STR_1003    :Testiajo ei onnistu laitteessa {POP16}{POP16}{POP16}{STRINGID}...
STR_1004    :Sulkeminen ei onnistu laitteessa {POP16}{POP16}{POP16}{STRINGID}...
STR_1005    :Rakentaminen ei onnistu laitteessa {POP16}{POP16}{POP16}{STRINGID}...
STR_1006    :Täytyy ensin sulkea
STR_1007    :Ei voida luoda tarpeeksi kulkuneuvoja
STR_1008    :{SMALLFONT}{BLACK}Avaa, sulje tai testaa laitetta/kohdetta
STR_1009    :{SMALLFONT}{BLACK}Avaa tai sulje kaikki laitteet/kohteet
STR_1010    :{SMALLFONT}{BLACK}Avaa tai sulje puisto
STR_1011    :Sulje kaikki
STR_1012    :Avaa kaikki
STR_1013    :Sulje puisto
STR_1014    :Avaa puisto
STR_1015    :Tämä toimintatila ei toimi useamman asematasanteen kanssa
STR_1016    :Tämä toimintatila vaatii vähintään kaksi asematasannetta
STR_1017    :Ei pysty vaihtaamaan toimintatilaa...
STR_1018    :Muutoksien teko ei onnistu...
STR_1019    :Muutoksien teko ei onnistu...
STR_1020    :Muutoksien teko ei onnistu...

STR_1022    :{POP16}{POP16}{POP16}{COMMA16} auto per juna
STR_1023    :{POP16}{POP16}{POP16}{COMMA16} autoa per juna
STR_1024    :{COMMA16} auto per juna
STR_1025    :{COMMA16} autoa per juna
STR_1026    :Asematasanne on liian pitkä!
STR_1027    :{SMALLFONT}{BLACK}Paikanna tämä päänäkymässä
STR_1028    :Kentän laidan yli!
STR_1029    :Ei voi rakentaa osittain veden pinnan ylle ja alle!
STR_1030    :Tämän voi rakentaa ainoastaan veden alle!
STR_1031    :Tätä ei voi rakentaa veden alle!
STR_1032    :Tämän voi rakentaa ainoastaan veteen!
STR_1033    :Tämän voi rakentaa ainoastaan maanpinnan ylle!
STR_1034    :Tämän voi rakentaa ainoastaan maanpinnalle!
STR_1035    :Paikallinen virkavalta ei salli rakentamista puiden latvoja korkeammalle!
STR_1036    :Lataa peli
STR_1037    :Lataa maisema
STR_1038    :Muunna tallennettu peli skenaarioksi
STR_1039    :Asenna uusi ratasuunnitelma
STR_1040    :Tallenna peli
STR_1041    :Tallenna skenaario
STR_1042    :Tallenna maisema
STR_1043    :OpenRCT2 Tallennettu peli
STR_1044    :OpenRCT2 Skenaariotiedosto
STR_1045    :OpenRCT2 Maisematiedosto
STR_1046    :OpenRCT2 Ratasuunitelmatiedosto
STR_1047    :Pelin tallennus epäonnistui!
STR_1048    :Skenaarion tallennus epäonnistui!
STR_1049    :Maisematiedoston tallennus epäonnistui!
STR_1050    :Avaaminen epäonnistui...{NEWLINE}Tiedosto sisältää virheellistä tietoa!
STR_1051    :Näkymättömät tuet
STR_1052    :Näkymättömät ihmiset
STR_1053    :{SMALLFONT}{BLACK}Laitteet/kohteet puistossa
STR_1054    :{SMALLFONT}{BLACK}Nimeä laite/kohde
STR_1055    :{SMALLFONT}{BLACK}Nimeä henkilö
STR_1056    :{SMALLFONT}{BLACK}Nimeä henkilöstön jäsen
STR_1057    :Laitteen/kohteen nimi
STR_1058    :Kirjoita uusi nimi tälle laitteelle/kohteelle:
STR_1059    :Ei pysty uudelleennimeämään laitetta/kohdetta...
STR_1060    :Virheellinen laitteen/kohteen nimi
STR_1061    :Normaali toimintatila
STR_1062    :Toistuva kierros -toimintatila
STR_1063    :Käänteinen-kallistus laukaistu sukkula -toimintatila
STR_1064    :Voimalaukaisu (aseman ohitus)
STR_1065    :Sukkulatoimintatila
STR_1066    :Veneajelutoimintatila
STR_1067    :Ylöspäin laukaisu
STR_1068    :Pyörivä hissi -toimintatila
STR_1069    :Asemalta asemalle -toimintatila
STR_1070    :Yksi kyyti per sisäänpääsy
STR_1071    :Loputtomat kyydit per sisäänpääsy
STR_1072    :Labyrinttitoimintatila
STR_1073    :Kilpailutoimintatila
STR_1074    :Törmäysautotoimintatila
STR_1075    :Keinutoimintatila
STR_1076    :Kojutoimintatila
STR_1077    :Pyörimistoimintatila
STR_1078    :Kiertosuunta eteenpäin
STR_1079    :Kiertosuunta taaksepäin
STR_1080    :Elokuva: {ENDQUOTES}Kostavat lentäjät{ENDQUOTES}
STR_1081    :3D-elokuva: {ENDQUOTES}Hiiren hännät{ENDQUOTES}
STR_1082    :Avaruusrenkaat -toimintatila
STR_1083    :Aloittelijoille -toimintatila
STR_1084    :Induktiomoottorilaukaisu
STR_1085    :Elokuva: {ENDQUOTES}Jännityksen rakastajat{ENDQUOTES}
STR_1086    :3D-elokuva: {ENDQUOTES}Myrskyn jahtaajat{ENDQUOTES}
STR_1087    :3D-elokuva: {ENDQUOTES}Avaruusryöstäjät{ENDQUOTES}
STR_1088    :Intensiivinen toimintatila
STR_1089    :Hullu toimintatila
STR_1090    :Kummitustalo -toimintatila
STR_1091    :Sirkusesitys -toimintatila
STR_1092    :Alaspäin laukaisu
STR_1093    :Kiero talo -toimintatila
STR_1094    :Vapaapudotustoimintatila
STR_1095    :Toistuva kierros lohkojarrutuksella -toimintatila
STR_1096    :Voimalaukaisu (ilman aseman ohitusta)
STR_1097    :Voimalaukaisu lohkojarrutuksella -toimintatila
STR_1098    :Siirrytään {POP16}{STRINGID} loppuun
STR_1099    :Odotetaan matkustajia {POP16}{STRINGID}
STR_1100    :Odotetaan lähtöä {POP16}{STRINGID}
STR_1101    :Lähtemässä asemalta {POP16}{STRINGID}
STR_1102    :Nopeus {VELOCITY}
STR_1103    :Saapumassa asemalle {POP16}{STRINGID}
STR_1104    :Matkustajat poistuvat asemalla {POP16}{STRINGID}
STR_1105    :Nopeus {VELOCITY}
STR_1106    :Törmää!
STR_1107    :Törmännyt!
STR_1108    :Nopeus {VELOCITY}
STR_1109    :Keinuu
STR_1110    :Pyörii
STR_1111    :Pyörii
STR_1112    :Käynnissä
STR_1113    :Ohjelma pyörii
STR_1114    :Pyörii
STR_1115    :Käynnissä
STR_1116    :Käynnissä
STR_1117    :Sirkusesitys menossa
STR_1118    :Käynnissä
STR_1119    :Odotetaan kaapelihissiä
STR_1120    :Nopeus {VELOCITY}
STR_1121    :Pysäytetään
STR_1122    :Odotetaan matkustajia
STR_1123    :Odotetaan käynnistämistä
STR_1124    :Käynnistetään
STR_1125    :Käynnissä
STR_1126    :Pysäytetään
STR_1127    :Matkustajia puretaan
STR_1128    :Pysähtynyt lohkojarruihin.
STR_1129    :Kaikki ajoneuvot saman värisiä
STR_1130    :Eri värit per {STRINGID}
STR_1131    :Eri värit per ajoneuvo
STR_1132    :Ajoneuvo {POP16}{POP16}{POP16}{POP16}{POP16}{POP16}{COMMA16}
STR_1133    :Ajoneuvo {POP16}{COMMA16}

STR_1136    :{SMALLFONT}{BLACK}Valitse pääväri
STR_1137    :{SMALLFONT}{BLACK}Valitse lisäväri 1
STR_1138    :{SMALLFONT}{BLACK}Valitse lisäväri 2
STR_1139    :{SMALLFONT}{BLACK}Valitse tukirakenteiden väri
STR_1140    :{SMALLFONT}{BLACK}Valitse ajoneuvon väriteema
STR_1141    :{SMALLFONT}{BLACK}Valitse mitä ajoneuvoa/junaa muutetaan

STR_1144    :Ei pysty rakentamaan/siirtämään tämän laitteen/kohteen sisäänkäyntiä...
STR_1145    :Ei pysty rakentamaan/siirtämään tämän laitteen/kohteen uloskäyntiä...
STR_1146    :Sisäänkäyntiä ei ole vielä rakennettu
STR_1147    :Uloskäyntiä ei ole vielä rakennettu
STR_1148    :Neljänneskuorma
STR_1149    :Puolikas kuorma
STR_1150    :Kolmeneljäsosakuorma
STR_1151    :Täysi kuorma
STR_1152    :Mikä tahansa kuorma
STR_1153    :Korkeusmerkinnät laitteiden radoissa
STR_1154    :Korkeusmerkinnät maanpinnassa
STR_1155    :Korkeusmerkinnät poluissa

STR_1158    :Tämän poistaminen ei onnistu...
